reference_no,reference_text_joined,source_lines_as_printed,project_text_before_last_location_suffix,last_location_suffix_as_printed,location_split_method,reference_scope,source_pdf_page,source_printed_page,source_column,catalog_text_color,verification_status,verification_note
94,KAUTHER DEPLETION COMPRESSION PROJECT / OMAN,KAUTHER DEPLETION COMPRESSION PROJECT / OMAN,KAUTHER DEPLETION COMPRESSION PROJECT,OMAN,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
95,"KHAWALED, THUQAIBAH, HARIFA, MADAM & MELIHA KHADEIRAH PET-ROL STATION / SAUDI ARABIA","KHAWALED, THUQAIBAH, HARIFA, MADAM & MELIHA KHADEIRAH PET-ROL STATI- || ON / SAUDI ARABIA","KHAWALED, THUQAIBAH, HARIFA, MADAM & MELIHA KHADEIRAH PET-ROL STATION",SAUDI ARABIA,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
96,KHAZZAN CENTRAL PROCESSING FACILITY PROJECT / OMAN,KHAZZAN CENTRAL PROCESSING FACILITY PROJECT / OMAN,KHAZZAN CENTRAL PROCESSING FACILITY PROJECT,OMAN,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
97,KOC FACILITY UPGRADE AND RELOCATION OF UNDERGROUND PROCESS PIPING,KOC FACILITY UPGRADE AND RELOCATION OF UNDERGROUND PROCESS PIPING,KOC FACILITY UPGRADE AND RELOCATION OF UNDERGROUND PROCESS PIPING,,no slash suffix,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
98,"FOR GC’S 3, 4, 6, 7, 8, 21, 23, BS 140 AND BS 150 / KUWAIT LINEADECOR - ISTANBUL / TURKIYE","FOR GC’S 3, 4, 6, 7, 8, 21, 23, BS 140 AND BS 150 / || KUWAIT LINEADECOR - ISTANBUL / TURKIYE","FOR GC’S 3, 4, 6, 7, 8, 21, 23, BS 140 AND BS 150 / KUWAIT LINEADECOR - ISTANBUL",TURKIYE,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
99,"LPG IMPORT, BACKFLOW & LOADING LINES REPLACEMENT PROJECT / UAE","LPG IMPORT, BACKFLOW & LOADING LINES REPLACEMENT PROJECT / UAE","LPG IMPORT, BACKFLOW & LOADING LINES REPLACEMENT PROJECT",UAE,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
100,"LUKOIL, VGO PROJECT / RUSSIA","LUKOIL, VGO PROJECT / RUSSIA","LUKOIL, VGO PROJECT",RUSSIA,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
101,LUSAIL NORTH 66kV CABLE WORKS PROJECT CP24 / QATAR,LUSAIL NORTH 66kV CABLE WORKS PROJECT CP24 / QATAR,LUSAIL NORTH 66kV CABLE WORKS PROJECT CP24,QATAR,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
102,LUSAIL PROJECT-CP24 / QATAR,LUSAIL PROJECT-CP24 / QATAR,LUSAIL PROJECT-CP24,QATAR,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
103,LYONDELLBASELL WASTE WATER TREATMENT PROJECT,LYONDELLBASELL WASTE WATER TREATMENT PROJECT,LYONDELLBASELL WASTE WATER TREATMENT PROJECT,,no slash suffix,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
104,MADINAT AL RIYADH CITY NORTH PHASE 6 (6A & 6B) INFRASTRUCTURE / UAE,MADINAT AL RIYADH CITY NORTH PHASE 6 (6A & 6B) INFRASTRUCTURE / UAE,MADINAT AL RIYADH CITY NORTH PHASE 6 (6A & 6B) INFRASTRUCTURE,UAE,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
105,MAIN CONSTRUCTION WORKS FOR PRECINCTS E&F IN YAS ACRES DEVELOPMENT (PHASE-3) / UAE,MAIN CONSTRUCTION WORKS FOR PRECINCTS E&F || IN YAS ACRES DEVELOPMENT (PHASE-3) / UAE,MAIN CONSTRUCTION WORKS FOR PRECINCTS E&F IN YAS ACRES DEVELOPMENT (PHASE-3),UAE,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
106,"MAJNOON CPF2-PROJECT, THE REPUBLIC OF IRAQ","MAJNOON CPF2-PROJECT, THE REPUBLIC OF IRAQ","MAJNOON CPF2-PROJECT, THE REPUBLIC OF IRAQ",,no slash suffix,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
107,MASHATTEN KONUTLARI MASLAK- ISTANBUL / TURKIYE,MASHATTEN KONUTLARI MASLAK- ISTANBUL / TURKIYE,MASHATTEN KONUTLARI MASLAK- ISTANBUL,TURKIYE,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
108,MBR GARDENS - DUBAI HILLS ESTATE - SIDRA 3 (PA 22) 339 NO. VILLAS - DUBAI / UAE,MBR GARDENS - DUBAI HILLS ESTATE - SIDRA 3 (PA 22) - || 339 NO. VILLAS - DUBAI / UAE,MBR GARDENS - DUBAI HILLS ESTATE - SIDRA 3 (PA 22) 339 NO. VILLAS - DUBAI,UAE,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
109,MMPS GAS COMPRESSION PROJECT (MGCP) / SULTANATE OF OMAN,MMPS GAS COMPRESSION PROJECT (MGCP) / SULTANATE OF OMAN,MMPS GAS COMPRESSION PROJECT (MGCP),SULTANATE OF OMAN,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
110,MUGLAD BASIN FIELD SURFACE FACILITIES - PHASE 4 / SUDAN,MUGLAD BASIN FIELD SURFACE FACILITIES - PHASE 4 / SUDAN,MUGLAD BASIN FIELD SURFACE FACILITIES - PHASE 4,SUDAN,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
111,MZEC 11/022 SAQSOOQ / OMAN,MZEC 11/022 SAQSOOQ / OMAN,MZEC 11/022 SAQSOOQ,OMAN,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
112,"MZEC, 57/13 SUMAIL PSS / OMAN","MZEC, 57/13 SUMAIL PSS / OMAN","MZEC, 57/13 SUMAIL PSS",OMAN,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
113,"MZEC, 58/13 MANAH PSS / OMAN","MZEC, 58/13 MANAH PSS / OMAN","MZEC, 58/13 MANAH PSS",OMAN,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
114,"MZEC, 60/13 MADINAT NIZWA / OMAN","MZEC, 60/13 MADINAT NIZWA / OMAN","MZEC, 60/13 MADINAT NIZWA",OMAN,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
115,"MZEC, 74/14 KHABAH PSS / OMAN","MZEC, 74/14 KHABAH PSS / OMAN","MZEC, 74/14 KHABAH PSS",OMAN,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
116,"MZEC, SOHAR PSS / OMAN","MZEC, SOHAR PSS / OMAN","MZEC, SOHAR PSS",OMAN,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
117,"MZEC, V59/13 SUR PSS / OMAN","MZEC, V59/13 SUR PSS / OMAN","MZEC, V59/13 SUR PSS",OMAN,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
118,"NC200 ERAWIN FIELD DEVELOPMENT PROJECT PHASE I, ERAWIN EARLY PRODUCTION / LIBYA","NC200 ERAWIN FIELD DEVELOPMENT PROJECT PHASE I, || ERAWIN EARLY PRODUCTION / LIBYA","NC200 ERAWIN FIELD DEVELOPMENT PROJECT PHASE I, ERAWIN EARLY PRODUCTION",LIBYA,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
119,"NEW GATHERING CENTRE, GC-29 / IN NORTH KUWAIT","NEW GATHERING CENTRE, GC-29 / IN NORTH KUWAIT","NEW GATHERING CENTRE, GC-29",IN NORTH KUWAIT,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
120,"NEW GATHERING CENTRE, GC-32 / KUWAIT","NEW GATHERING CENTRE, GC-32 / KUWAIT","NEW GATHERING CENTRE, GC-32",KUWAIT,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
121,NEW PTA COMPLEX PROJECT - SASA POLYESTER SANAYI A.S. / TURKIYE,NEW PTA COMPLEX PROJECT - SASA POLYESTER SANAYI A.S. / TURKIYE,NEW PTA COMPLEX PROJECT - SASA POLYESTER SANAYI A.S.,TURKIYE,last slash suffix only; not externally verified,international_project_references,133,131,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
122,OYAK RENAULT FACTORY - BURSA / TURKIYE,OYAK RENAULT FACTORY - BURSA / TURKIYE,OYAK RENAULT FACTORY - BURSA,TURKIYE,last slash suffix only; not externally verified,international_project_references,133,131,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
123,"PARKING BUIDLING ON PLOT NO(335-339) WORLD TRADE CENTER 1ST, DUBAI / UAE","PARKING BUIDLING ON PLOT NO(335-339) WORLD TRADE CENTER 1ST, DUBAI / UAE","PARKING BUIDLING ON PLOT NO(335-339) WORLD TRADE CENTER 1ST, DUBAI",UAE,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
124,PETRONAS - IRAQ WC2 / IRAQ,PETRONAS - IRAQ WC2 / IRAQ,PETRONAS - IRAQ WC2,IRAQ,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
125,"PJ/9113 - DAELIM INDUSTRIAL CO., LTD/ IRAN","PJ/9113 - DAELIM INDUSTRIAL CO., LTD/ IRAN","PJ/9113 - DAELIM INDUSTRIAL CO., LTD",IRAN,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
126,PLANT: POLYPROPYLENE-5(PP5) - ABU DHABI / UAE,PLANT: POLYPROPYLENE-5(PP5) - ABU DHABI / UAE,PLANT: POLYPROPYLENE-5(PP5) - ABU DHABI,UAE,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
127,PN1601-MULTI STOREY CAR PARK PROJECT(DWTC) G+5+R / QATAR,PN1601-MULTI STOREY CAR PARK PROJECT(DWTC) G+5+R / QATAR,PN1601-MULTI STOREY CAR PARK PROJECT(DWTC) G+5+R,QATAR,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
128,"PROPOSED 2B+G+14 TYP.+HC BUILDING, JADDAF - DUBAI / UAE","PROPOSED 2B+G+14 TYP.+HC BUILDING, JADDAF - DUBAI / UAE","PROPOSED 2B+G+14 TYP.+HC BUILDING, JADDAF - DUBAI",UAE,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
129,"PROPOSED 3 FILLING GAS STATION IN DUBAI FOR EMIRATES GENERAL PETROLEUM CORPORATION (EMARAT) - AL GHANAYEM, AL GREYTEESAH & WADI AL SHABAK - DUBAI / UAE","PROPOSED 3 FILLING GAS STATION IN DUBAI FOR EMIRATES GENERAL PETROLEUM || CORPORATION (EMARAT) - AL GHANAYEM, AL GREYTEESAH & || WADI AL SHABAK - DUBAI / UAE","PROPOSED 3 FILLING GAS STATION IN DUBAI FOR EMIRATES GENERAL PETROLEUM CORPORATION (EMARAT) - AL GHANAYEM, AL GREYTEESAH & WADI AL SHABAK - DUBAI",UAE,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
130,"QATAR DOLPHIN PROJECT, QATAR PETROLEUM","QATAR DOLPHIN PROJECT, QATAR PETROLEUM","QATAR DOLPHIN PROJECT, QATAR PETROLEUM",,no slash suffix,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
131,QATAR POWER TRANSMISSION SYSTEM EXPANSION - PHASE-13,QATAR POWER TRANSMISSION SYSTEM EXPANSION - PHASE-13,QATAR POWER TRANSMISSION SYSTEM EXPANSION - PHASE-13,,no slash suffix,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
132,"QATAR POWER TRANSMISSION SYSTEM EXPANSION PHASE-X SUBSTATION,PACKAGE S1, S2 & S6","QATAR POWER TRANSMISSION SYSTEM EXPANSION || PHASE-X SUBSTATION,PACKAGE S1, S2 & S6","QATAR POWER TRANSMISSION SYSTEM EXPANSION PHASE-X SUBSTATION,PACKAGE S1, S2 & S6",,no slash suffix,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
133,"QATAR POWER TRANSMISSION SYSTEM EXPANSION PHASE-XI -66/11kV AL MASHAAF S/S, 66kV KHORE SOUTH EAST S/S & 66/11kV RAYYAN SOUTH S/S","QATAR POWER TRANSMISSION SYSTEM EXPANSION PHASE-XI -66/11kV AL || MASHAAF S/S, 66kV KHORE SOUTH EAST S/S & 66/11kV RAYYAN SOUTH S/S","QATAR POWER TRANSMISSION SYSTEM EXPANSION PHASE-XI -66/11kV AL MASHAAF S/S, 66kV KHORE SOUTH EAST S/S & 66/11kV RAYYAN SOUTH S",S,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
134,"QATAR POWER TRANSMISSION SYSTEM EXPANSION PHASE-XI -66/11kV AL MASHAAF S/S, 66kV KHORE SOUTH EAST S/S & 66/11kV RAYYAN SOUTH S/S","QATAR POWER TRANSMISSION SYSTEM EXPANSION PHASE-XI -66/11kV AL || MASHAAF S/S, 66kV KHORE SOUTH EAST S/S & 66/11kV RAYYAN SOUTH S/S","QATAR POWER TRANSMISSION SYSTEM EXPANSION PHASE-XI -66/11kV AL MASHAAF S/S, 66kV KHORE SOUTH EAST S/S & 66/11kV RAYYAN SOUTH S",S,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
135,QATAR POWER TRANSMISSION SYSTEM EXPANSION PHASE-XIII,QATAR POWER TRANSMISSION SYSTEM EXPANSION PHASE-XIII,QATAR POWER TRANSMISSION SYSTEM EXPANSION PHASE-XIII,,no slash suffix,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
136,R MOVEYEID GAS STORAGE SURFACE FACILITY PROJECT - DUBAI / UAE,R MOVEYEID GAS STORAGE SURFACE FACILITY PROJECT - DUBAI / UAE,R MOVEYEID GAS STORAGE SURFACE FACILITY PROJECT - DUBAI,UAE,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
137,RABIGH PHASE II PETROCHEMICAL PROJECT / SAUDI ARABIA,RABIGH PHASE II PETROCHEMICAL PROJECT / SAUDI ARABIA,RABIGH PHASE II PETROCHEMICAL PROJECT,SAUDI ARABIA,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
138,REGGANE NORD DEVELOPMENT PROJECT / ALGERIA,REGGANE NORD DEVELOPMENT PROJECT / ALGERIA,REGGANE NORD DEVELOPMENT PROJECT,ALGERIA,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
139,REHABILITATION AND UPGRADING OF THE ELECTRICITY GRID BERKINE BASIN,REHABILITATION AND UPGRADING OF THE ELECTRICITY GRID BERKINE BASIN,REHABILITATION AND UPGRADING OF THE ELECTRICITY GRID BERKINE BASIN,,no slash suffix,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
140,SAJAA PETROL STATION / UAE,SAJAA PETROL STATION / UAE,SAJAA PETROL STATION,UAE,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
141,SAJJA & MUWAFJAH PETROL STATION / UAE,SAJJA & MUWAFJAH PETROL STATION / UAE,SAJJA & MUWAFJAH PETROL STATION,UAE,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
142,SALALAH LPG PROJECT / OMAN,SALALAH LPG PROJECT / OMAN,SALALAH LPG PROJECT,OMAN,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
143,"SALAM GAS TREATMENT UNIT TRAIN - 3/4, (SGT 3/4) / EGYPT","SALAM GAS TREATMENT UNIT TRAIN - 3/4, (SGT 3/4) / EGYPT","SALAM GAS TREATMENT UNIT TRAIN - 3/4, (SGT 3/4)",EGYPT,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
144,SAMRA COMBINED CYCLE PLANT / JORDAN,SAMRA COMBINED CYCLE PLANT / JORDAN,SAMRA COMBINED CYCLE PLANT,JORDAN,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
145,SEAGREEN OFFSHORE WINDFARM,SEAGREEN OFFSHORE WINDFARM,SEAGREEN OFFSHORE WINDFARM,,no slash suffix,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
146,SHAH GAS - GASCO / UAE,SHAH GAS - GASCO / UAE,SHAH GAS - GASCO,UAE,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
147,SHAH GAS - HOSN GAS / UAE,SHAH GAS - HOSN GAS / UAE,SHAH GAS - HOSN GAS,UAE,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
148,SIDDHIRGANJ 335 / BANGLADESH,SIDDHIRGANJ 335 / BANGLADESH,SIDDHIRGANJ 335,BANGLADESH,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
149,SOFIA AIRPORT / BULGARIA,SOFIA AIRPORT / BULGARIA,SOFIA AIRPORT,BULGARIA,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
150,SOHAR REFINERY IMPROVEMENT PROJECT (SRIP) / OMAN,SOHAR REFINERY IMPROVEMENT PROJECT (SRIP) / OMAN,SOHAR REFINERY IMPROVEMENT PROJECT (SRIP),OMAN,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
151,"SOUTH PARS GAS FIELD DEVELOPMENT PHASE 14, ONSHORE FACILITIES MEG GENERATION / IRAN","SOUTH PARS GAS FIELD DEVELOPMENT PHASE 14, ONSHORE FACILITIES MEG || GENERATION / IRAN","SOUTH PARS GAS FIELD DEVELOPMENT PHASE 14, ONSHORE FACILITIES MEG GENERATION",IRAN,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
152,SOUTH WEST GAS FIELD DEVELOPMENT (SWGFD) OF GAS TREATMENT PROJECT / ALGERIA,SOUTH WEST GAS FIELD DEVELOPMENT (SWGFD) OF GAS TREATMENT PROJECT / || ALGERIA,SOUTH WEST GAS FIELD DEVELOPMENT (SWGFD) OF GAS TREATMENT PROJECT,ALGERIA,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
153,SOUTH YOLOTEN GAS FIELD DEVELOPMENT / TURKMENISTAN,SOUTH YOLOTEN GAS FIELD DEVELOPMENT / TURKMENISTAN,SOUTH YOLOTEN GAS FIELD DEVELOPMENT,TURKMENISTAN,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
154,SVC PLUS-SHADEED IRON & STEEL / OMAN,SVC PLUS-SHADEED IRON & STEEL / OMAN,SVC PLUS-SHADEED IRON & STEEL,OMAN,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
155,TAWKE / IRAQ,TAWKE / IRAQ,TAWKE,IRAQ,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
156,"THE VALLEY DEVELOPMENT , EDEN- NH01 (362 TOWNHOUSES) PLOT NO. 9150119 AT AL YUFRAH 1 - DUBAI / UAE","THE VALLEY DEVELOPMENT , EDEN- NH01 (362 TOWNHOUSES) PLOT NO. 9150119 || AT AL YUFRAH 1 - DUBAI / UAE","THE VALLEY DEVELOPMENT , EDEN- NH01 (362 TOWNHOUSES) PLOT NO. 9150119 AT AL YUFRAH 1 - DUBAI",UAE,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
157,THE VALLEY DEVELOPMENT TALIA NH03 MAIN WORKS - DUBAI / UAE,THE VALLEY DEVELOPMENT TALIA NH03 MAIN WORKS - DUBAI / UAE,THE VALLEY DEVELOPMENT TALIA NH03 MAIN WORKS - DUBAI,UAE,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
158,"THE VALLEY DEVELOPMENT, 362 TOWNHOUSES - DUBAI / UAE","THE VALLEY DEVELOPMENT, 362 TOWNHOUSES - DUBAI / UAE","THE VALLEY DEVELOPMENT, 362 TOWNHOUSES - DUBAI",UAE,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
